mun_code,Descripción general_Descripción general_Población total_2022,Descripción general_Descripción general_Densidad poblacional_2022,Demografía y población_Población desagregada por área_Población rural_2022,Economía_Valor agregado municipal_Valor agregado per cápita_2020,Economía_Valor agregado municipal_Valor agregado_2020
41132,0.003891509598149897,0.0037183722373665146,0.04062930824750629,0.06566148005715877,0.0018300624967305034
41206,0.0007669102831416564,0.0002495208517584683,0.026561781958748955,0.0777584160954772,0.0004390695694504761
41244,0.0004114912247059787,0.003013575298458768,0.01462979482604817,0.055233316192760534,0.0001722914978808103
41298,0.009395948349307572,0.006173225446352448,0.19058740842862165,0.03849829628873463,0.002835067718728398
41306,0.0030386557463907816,0.0025298799799019192,0.0809342308004217,0.09033163339735943,0.001905172692926805
41319,0.002212762100987364,0.004353257867011639,0.06972670505230719,0.043932740657771335,0.0007386548850307133
41349,0.0008084264694546558,0.0019501276591874829,0.008369150920444409,0.051889900957452495,0.00031335836978024236
41357,0.0010603082095853532,0.0010304813308385037,0.03596356067364096,0.054972387247781876,0.000432225815810722
41359,0.003167001517492554,0.0021160959706076937,0.10623631497850945,0.03655343238904527,0.0009115024378947536
41378,0.0015515408897095928,0.0019336445049710916,0.04426242802692402,0.03637334953727702,0.00043979671827470003
41396,0.007883518744874553,0.004203772709807817,0.19944313789095236,0.04095151062300463,0.0024960452727990777
41483,0.0007037499875008433,0.0024179082081560916,0.020371421620306543,0.04869480287922171,0.0002569401757125192
41503,0.0013918048313955526,0.0045749278719906875,0.05165842186359582,0.03569121752300335,0.00038718536216909003
41518,0.0007229891957922333,0.0011259699483679403,0.020463330900440627,0.09948293441505943,0.0005285516482902614
41524,0.0033164851029671037,0.001677871422302958,0.07729029816451762,0.10135709384857364,0.0023054039604716763
41530,0.0013242144548981695,0.0029766302976289264,0.05208012326656395,0.05167823449678878,0.0005090897238772106
41548,0.0016496355372479297,0.0038149976241522543,0.048501067769578035,0.055192942805917744,0.0006715005524406258
41551,0.016406741165437826,0.011364282255259263,0.29370421431081556,0.06437196500654765,0.0075363842815575
41615,0.0030914369954533447,0.0035779812342131164,0.07163517422215014,0.07262634450202955,0.001592284831209296
41660,0.0012173862193854514,0.0020888135084564264,0.046954829292028225,0.05353177409339831,0.0004835967415691264
